 ,Area,Mean
1,37.661,0
2,37.661,0
3,37.661,0
4,37.661,0
5,37.661,0
6,37.661,0
7,37.661,0
8,37.661,0
9,37.661,0
10,37.661,0
11,0.018,255
12,0.010,255
13,0.017,255
14,0.017,255
15,0.014,255
16,0.017,255
17,0.023,255
18,0.035,255
19,0.030,255
20,0.052,255
21,0.055,255
22,0.061,255
23,0.069,255
24,0.068,255
25,0.081,255
26,0.096,255
27,0.071,255
28,0.076,255
29,0.103,255
30,0.103,255
31,0.130,255
32,0.081,255
33,0.094,255
34,0.117,255
35,0.095,255
36,0.086,255
37,0.117,255
38,0.119,255
39,0.124,255
40,0.115,255
41,0.130,255
42,0.134,255
43,0.108,255
44,0.144,255
45,0.194,255
46,0.192,255
47,0.205,255
48,0.208,255
49,0.210,255
50,0.215,255
51,0.241,255
52,0.247,255
53,0.258,255
54,0.268,255
55,0.262,255
56,0.311,255
57,0.333,255
58,0.308,255
59,0.325,255
60,0.339,255
61,0.334,255
62,0.400,255
63,0.329,255
64,0.322,255
65,0.309,255
66,0.329,255
67,0.318,255
68,0.455,255
69,0.442,255
70,0.448,255
71,0.462,255
72,0.453,255
73,0.447,255
74,0.450,255
75,0.368,255
76,0.407,255
77,0.360,255
78,0.489,255
79,0.473,255
80,0.395,255
81,0.571,255
82,0.507,255
83,0.539,255
84,0.504,255
85,0.516,255
86,0.521,255
87,0.513,255
88,0.538,255
89,0.449,255
90,0.455,255
91,0.544,255
92,0.509,255
93,0.550,255
94,0.469,255
95,0.544,255
96,0.552,255
97,0.619,255
98,0.500,255
99,0.503,255
100,0.567,255
101,0.518,255
102,0.512,255
103,0.464,255
104,0.603,255
105,0.527,255
106,0.649,255
107,0.566,255
108,0.490,255
109,0.636,255
110,0.624,255
111,0.549,255
112,0.663,255
113,0.523,255
114,0.480,255
115,0.646,255
116,0.562,255
117,0.512,255
118,0.667,255
119,0.561,255
120,0.611,255
121,0.612,255
122,0.555,255
123,0.563,255
124,0.491,255
125,0.574,255
126,0.624,255
127,0.627,255
128,0.702,255
129,0.560,255
130,0.607,255
131,0.562,255
132,0.553,255
133,0.638,255
134,0.599,255
135,0.543,255
136,0.658,255
137,0.554,255
138,0.572,255
139,0.586,255
140,0.520,255
141,0.676,255
142,0.686,255
143,0.670,255
144,0.691,255
145,0.737,255
146,0.686,255
147,0.764,255
148,0.757,255
149,0.604,255
150,0.765,255
151,0.641,255
152,0.570,255
153,0.524,255
154,0.456,255
155,0.709,255
156,0.639,255
157,0.556,255
158,0.670,255
159,0.552,255
160,0.715,255
161,0.771,255
162,0.721,255
163,0.653,255
164,0.622,255
165,0.539,255
166,0.664,255
167,0.478,255
168,0.519,255
169,0.582,255
170,0.467,255
171,0.598,255
172,0.696,255
173,0.615,255
174,0.663,255
175,0.748,255
176,0.707,255
177,0.780,255
178,0.765,255
179,0.745,255
180,0.720,255
181,0.650,255
182,0.816,255
183,0.734,255
184,0.521,255
185,0.678,255
186,0.664,255
187,0.670,255
188,0.715,255
189,0.650,255
190,0.682,255
191,0.686,255
192,0.714,255
193,0.546,255
194,0.557,255
195,0.580,255
196,0.725,255
197,0.727,255
198,0.657,255
199,0.654,255
200,0.593,255
201,0.653,255
202,0.511,255
203,0.725,255
204,0.576,255
205,0.633,255
206,0.830,255
207,0.629,255
208,0.576,255
209,0.638,255
210,0.642,255
211,0.449,255
212,0.557,255
213,0.738,255
214,0.685,255
215,0.652,255
216,0.657,255
217,0.553,255
218,0.677,255
219,0.782,255
220,0.742,255
221,0.570,255
222,0.744,255
223,0.622,255
224,0.705,255
225,0.752,255
226,0.524,255
227,0.678,255
228,0.734,255
229,0.942,255
230,0.908,255
231,0.692,255
232,0.954,255
233,0.865,255
234,0.764,255
235,0.806,255
236,0.976,255
237,0.719,255
238,0.695,255
239,0.638,255
240,0.840,255
241,0.892,255
242,0.731,255
243,0.736,255
244,0.671,255
245,0.654,255
246,0.804,255
247,0.800,255
248,0.701,255
249,0.789,255
250,0.765,255
251,0.606,255
252,0.942,255
253,0.861,255
254,0.968,255
255,0.706,255
256,0.838,255
257,0.674,255
258,1.007,255
259,0.809,255
260,0.773,255
261,0.867,255
262,0.723,255
263,0.782,255
264,0.944,255
265,0.895,255
266,0.939,255
267,0.736,255
268,0.860,255
269,0.789,255
270,0.898,255
271,0.954,255
272,0.955,255
273,0.795,255
274,0.911,255
275,0.940,255
276,0.980,255
277,0.985,255
278,0.750,255
279,0.821,255
280,0.903,255
281,0.940,255
282,0.881,255
283,0.878,255
284,0.939,255
285,0.771,255
286,0.831,255
287,0.937,255
288,0.807,255
289,0.941,255
290,1.001,255
291,0.874,255
292,1.070,255
293,0.758,255
294,0.729,255
295,0.920,255
296,0.844,255
297,0.984,255
298,1.008,255
299,0.988,255
300,0.992,255
301,0.770,255
302,0.690,255
303,0.748,255
304,0.874,255
305,0.942,255
306,0.897,255
307,0.904,255
308,0.968,255
309,0.976,255
310,0.996,255
311,0.974,255
312,1.000,255
313,1.044,255
314,0.886,255
315,0.906,255
316,0.836,255
317,0.849,255
318,1.012,255
319,0.926,255
320,0.858,255
321,0.946,255
322,0.931,255
323,0.960,255
324,0.830,255
325,1.062,255
326,0.951,255
327,1.010,255
328,0.810,255
329,0.644,255
330,0.795,255
331,0.998,255
332,0.861,255
333,0.876,255
334,1.015,255
335,0.860,255
336,0.888,255
337,0.982,255
338,0.828,255
339,0.805,255
340,0.873,255
341,0.991,255
342,0.783,255
343,0.860,255
344,0.967,255
345,0.615,255
346,0.760,255
347,0.872,255
348,0.682,255
349,0.890,255
350,0.823,255
351,0.843,255
352,0.919,255
353,1.000,255
354,0.805,255
355,1.017,255
356,0.929,255
357,0.948,255
358,0.778,255
359,0.963,255
360,0.972,255
361,1.025,255
362,0.945,255
363,0.815,255
364,0.827,255
365,0.766,255
366,0.828,255
367,0.945,255
368,0.773,255
369,0.733,255
370,0.783,255
371,0.818,255
372,0.814,255
373,0.912,255
374,0.676,255
375,0.764,255
376,0.967,255
377,0.873,255
378,0.905,255
379,0.888,255
380,0.894,255
381,0.958,255
382,0.919,255
383,0.875,255
384,1.027,255
385,0.853,255
386,0.744,255
387,0.797,255
388,0.977,255
389,0.800,255
390,0.806,255
391,0.799,255
392,0.605,255
393,0.830,255
394,0.551,255
395,0.669,255
396,0.755,255
397,0.731,255
398,0.556,255
399,0.541,255
400,0.688,255
401,0.632,255
402,0.550,255
403,0.739,255
404,0.794,255
405,0.757,255
406,0.336,255
407,0.727,255
408,0.605,255
409,0.697,255
410,0.524,255
411,0.686,255
412,0.650,255
413,0.635,255
414,0.633,255
415,0.651,255
416,0.499,255
417,0.668,255
418,0.545,255
419,0.399,255
420,0.659,255
421,0.468,255
422,0.559,255
423,0.575,255
424,0.606,255
425,0.686,255
426,0.471,255
427,0.240,255
428,0.496,255
429,0.475,255
430,0.195,255
431,0.481,255
432,0.553,255
433,0.490,255
434,0.368,255
435,0.431,255
436,0.433,255
437,0.351,255
438,0.481,255
439,0.358,255
440,0.333,255
441,0.270,255
442,0.382,255
443,0.383,255
444,0.367,255
445,0.439,255
446,0.402,255
447,0.390,255
448,0.423,255
449,0.404,255
450,0.465,255
451,0.384,255
452,0.371,255
453,0.429,255
454,0.364,255
455,0.270,255
456,0.131,255
457,0.104,255
458,0.339,255
459,0.233,255
