Specimen,Sex,Dissected,Scanned,Fixative,HH,HL,HW,PW,TL,maxBF_nocorr,maxBF_ampcorr,maxBF_ampbasecorr,L_closer_fib_l_mm,R_closer_fib_l_mm,L_md_block_g,R_md_block_g,L_closer_g,R_closer_g,L_mandi_g,R_mandi_g,PCSA_L_mm2,PCSA_R_mm2,L_closer_cuti_vol_mm3,R_closer_cuti_vol_mm3,L_closer_vol_mm3,R_closer_vol_mm3,L_convexhull_vol_mm3,R_convexhull_vol_mm3,L_2d3d_CH,R_2d3d_CH,Rev_side_3D,Penn_ang_deg_L,cos_ang_L,Penn_ang_deg_R,cos_ang_R,PCSA_L_vol,PCSA_R_vol,PCSA_L_CH,PCSA_R_CH,PCSA_L_2d3dCH,PCSA_R_2d3dCH,insert_area_total,OutLev_L,OutLevR,InLev_L,InLev_R,MA_L,MA_R
Sch24,M,1,0,Bouin,5.53,9.13,6.37,7.58,44.99,1.145168,1.39314525,1.3498515,1.884291,2.016384,0.0203,0.0215,0.0084,0.0111,0.006,0.0053,3.58943,4.136173,,,,,,,,,,,,,,,,,,,,,,,,,,
Sch25,F,1,0,Bouin,5.4,9.36,6.41,8.01,47.74,1.09818775,1.30920725,1.294185,1.876208,2.109719,0.0206,0.0239,0.0088,0.0127,0.0064,0.0049,3.776556,4.523015,,,,,,,,,,,,,,,,,,,,,,,,,,
Sch26,F,1,0,Ethanol_then_Bouin,5.49,9.65,6.75,8.02,52.03,1.80797125,2.12314175,2.09946225,,2.31931,0.0295,0.033,0.012,0.0161,0.0099,0.0046,,5.215741,,,,,,,,,,,,,,,,,,,,,,,,,,
Sch27,M,1,0,Ethanol_then_Bouin,5.51,9.22,6.43,7.23,47.22,1.081681,1.26174925,1.21754175,2.4895,2.33022,0.0217,0.023,0.0076,0.0116,0.0055,0.0035,2.458078,3.740331,,,,,,,,,,,,,,,,,,,,,,,,,,
Sch28,F,1,0,Ethanol_then_Bouin,5.93,9.3,6.7,8.1,54.08,1.0892995,1.3812255,1.26150925,2.4944,2.218,0.0273,0.0281,0.0095,0.0143,0.0055,0.0078,3.066562,4.844215,,,,,,,,,,,,,,,,,,,,,,,,,,
Sch29,F,1,0,Ethanol_then_Bouin,5.79,9.23,6.86,8.09,53.93,1.4626025,1.600865,1.506692,2.4287,2.23757,0.0269,0.0296,0.0106,0.0144,0.0093,0.0047,3.514198,4.835427,,,,,,,,,,,,,,,,,,,,,,,,,,
Sch30,F,1,0,Ethanol_then_Bouin,5.92,10.35,7.18,8.69,55.79,1.37879975,1.853928,1.83621625,2.22957,2.6536,0.0284,0.033,0.0105,0.0162,0.0063,0.0076,3.791948,4.586997,,,,,,,,,,,,,,,,,,,,,,,,,,
Sch_D1,M,1,0,Ethanol,5.63,8.98,6.43,7.52,46.82,,,,,,0.0294,0.0324,0.0113,0.0182,0.0095,0.0083,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sch_D2,M,1,0,Ethanol,5.57,8.87,6.37,7.26,48.11,,,,,,0.0177,0.0187,0.0063,0.0112,0.0065,0.0051,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sch_D3,M,1,0,Ethanol,,,,,,,,,,,0.0323,0.0289,0.014,0.0138,0.0104,0.0104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sch_D4,F,1,0,Ethanol,5.41,9.61,6.55,7.1,46.65,,,,,,0.0204,0.03,0.0093,0.0146,0.0077,0.0073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sch_D5,M,1,0,Ethanol,5.06,8.17,5.61,,42.78,,,,,,0.0245,0.0203,0.011,0.0108,0.0041,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
