"FL_dis_L","FL_dis_R","FL_3D_L","FL_3D_R","PA_L","PA_R","MW_L","MW_R","MV_L","MV_R","MV2D3D_L","MV2D3D_R","MVCH_L","MVCH_R"
"Mean",1.93590223018718,2.11335929333195,1.93925142950773,2.02368832891367,29.4165058100019,34.7811363121584,0.0099,0.013795,3.164548,4.18887266666667,13.9331128571429,18.5273928571429,20.6105733333333,27.5492466666667
"Std. Dev.",0.372691493612983,0.387234663054412,0.379232169290724,0.426350223508318,11.456413342486,14.0134844988375,0.00204141333909932,0.00260110806347886,0.575433816328416,0.752945618985544,1.96855695132414,2.87474842095638,2.86975619384212,3.78041952242391
"Maximum",3.33,3.828,2.79481540860931,3.13684709034406,53.4592334403836,67.0395116243519,0.014,0.0193,4.4937,5.78647,18.96162,25.50595,28.8296,36.511
"Minimum",0.745,0.814,1.01303077371815,1.19981336106913,2.80786178408166,0.542830618877966,0.0063,0.0101,2.47431,3.21062,11.0532,14.44118,16.8024,21.7986
"N",5022,4722,375,375,375,375,20,20,15,15,14,14,15,15
