,BF,HH,HL,HW,PW,TL,FL_dis,FL_3D,PA,MW,MV,MV2D3D,MVCH
Mean,1.41999693103448,5.53647058823529,9.26617647058823,6.47647058823529,7.77878787878788,46.9785294117647,2.0218989719944,1.9814698792107,32.0988210610802,0.0118475,3.67671033333333,16.2302528571429,24.07991
Std. Dev.,0.403009144044634,0.255638029524242,0.472607305153164,0.319705189510029,0.502448738528106,4.03814398737156,0.390007617187543,0.40541731835012,13.0690201821492,0.00303585306728666,0.839581673755914,3.36410240868899,4.82974947764303
Maximum,2.09946225,5.93,10.35,7.18,8.69,55.79,3.828,3.13684709034406,67.0395116243519,0.0193,5.78647,25.50595,36.511
Minimum,0.4307775,4.99,8.17,5.61,6.82,40.39,0.745,1.01303077371815,0.542830618877966,0.0063,2.47431,11.0532,16.8024
N,29,34,34,34,33,34,9744,750,750,40,30,28,30
