 ,Area,Mean
1,37.661,0
2,37.661,0
3,37.661,0
4,37.661,0
5,37.661,0
6,37.661,0
7,37.661,0
8,37.661,0
9,37.661,0
10,37.661,0
11,37.661,0
12,37.661,0
13,37.661,0
14,37.661,0
15,37.661,0
16,37.661,0
17,37.661,0
18,37.661,0
19,37.661,0
20,37.661,0
21,37.661,0
22,0.009,255
23,0.020,255
24,0.018,255
25,0.022,255
26,0.026,255
27,0.026,255
28,0.031,255
29,0.064,255
30,0.032,255
31,0.031,255
32,0.035,255
33,0.041,255
34,0.050,255
35,0.061,255
36,0.068,255
37,0.080,255
38,0.087,255
39,0.096,255
40,0.113,255
41,0.128,255
42,0.138,255
43,0.147,255
44,0.168,255
45,0.113,255
46,0.156,255
47,0.175,255
48,0.179,255
49,0.174,255
50,0.199,255
51,0.211,255
52,0.211,255
53,0.215,255
54,0.225,255
55,0.258,255
56,0.266,255
57,0.279,255
58,0.300,255
59,0.311,255
60,0.318,255
61,0.372,255
62,0.344,255
63,0.359,255
64,0.365,255
65,0.404,255
66,0.422,255
67,0.437,255
68,0.446,255
69,0.465,255
70,0.470,255
71,0.475,255
72,0.497,255
73,0.535,255
74,0.530,255
75,0.522,255
76,0.541,255
77,0.550,255
78,0.563,255
79,0.580,255
80,0.608,255
81,0.623,255
82,0.616,255
83,0.630,255
84,0.638,255
85,0.659,255
86,0.680,255
87,0.680,255
88,0.709,255
89,0.712,255
90,0.737,255
91,0.750,255
92,0.762,255
93,0.780,255
94,0.784,255
95,0.800,255
96,0.815,255
97,0.818,255
98,0.829,255
99,0.871,255
100,0.873,255
101,0.875,255
102,0.902,255
103,0.862,255
104,0.907,255
105,0.926,255
106,0.938,255
107,0.957,255
108,0.979,255
109,0.953,255
110,0.985,255
111,1.008,255
112,1.011,255
113,1.030,255
114,1.037,255
115,1.023,255
116,1.050,255
117,1.060,255
118,1.068,255
119,1.111,255
120,1.125,255
121,1.137,255
122,1.155,255
123,1.153,255
124,1.194,255
125,1.190,255
126,1.198,255
127,1.198,255
128,1.188,255
129,1.203,255
130,1.204,255
131,1.196,255
132,1.209,255
133,1.252,255
134,1.257,255
135,1.212,255
136,1.213,255
137,1.233,255
138,1.247,255
139,1.267,255
140,1.317,255
141,1.301,255
142,1.262,255
143,1.298,255
144,1.309,255
145,1.326,255
146,1.308,255
147,1.301,255
148,1.343,255
149,1.361,255
150,1.286,255
151,1.279,255
152,1.270,255
153,1.332,255
154,1.303,255
155,1.248,255
156,1.243,255
157,1.236,255
158,1.240,255
159,1.245,255
160,1.245,255
161,1.266,255
162,1.277,255
163,1.318,255
164,1.284,255
165,1.302,255
166,1.332,255
167,1.307,255
168,1.298,255
169,1.345,255
170,1.374,255
171,1.343,255
172,1.336,255
173,1.327,255
174,1.373,255
175,1.389,255
176,1.420,255
177,1.430,255
178,1.367,255
179,1.417,255
180,1.429,255
181,1.423,255
182,1.422,255
183,1.447,255
184,1.413,255
185,1.419,255
186,1.437,255
187,1.462,255
188,1.517,255
189,1.476,255
190,1.492,255
191,1.512,255
192,1.485,255
193,1.474,255
194,1.467,255
195,1.480,255
196,1.483,255
197,1.490,255
198,1.534,255
199,1.550,255
200,1.580,255
201,1.587,255
202,1.546,255
203,1.576,255
204,1.570,255
205,1.604,255
206,1.574,255
207,1.583,255
208,1.595,255
209,1.627,255
210,1.622,255
211,1.566,255
212,1.639,255
213,1.632,255
214,1.674,255
215,1.670,255
216,1.640,255
217,1.636,255
218,1.653,255
219,1.656,255
220,1.645,255
221,1.625,255
222,1.657,255
223,1.597,255
224,1.618,255
225,1.639,255
226,1.661,255
227,1.679,255
228,1.670,255
229,1.690,255
230,1.710,255
231,1.703,255
232,1.672,255
233,1.711,255
234,1.674,255
235,1.648,255
236,1.655,255
237,1.663,255
238,1.685,255
239,1.665,255
240,1.695,255
241,1.707,255
242,1.707,255
243,1.650,255
244,1.709,255
245,1.682,255
246,1.668,255
247,1.657,255
248,1.676,255
249,1.708,255
250,1.673,255
251,1.688,255
252,1.602,255
253,1.584,255
254,1.582,255
255,1.578,255
256,1.576,255
257,1.585,255
258,1.565,255
259,1.520,255
260,1.498,255
261,1.514,255
262,1.530,255
263,1.538,255
264,1.552,255
265,1.507,255
266,1.554,255
267,1.540,255
268,1.522,255
269,1.512,255
270,1.524,255
271,1.492,255
272,1.525,255
273,1.514,255
274,1.532,255
275,1.562,255
276,1.588,255
277,1.545,255
278,1.526,255
279,1.549,255
280,1.525,255
281,1.528,255
282,1.530,255
283,1.527,255
284,1.512,255
285,1.552,255
286,1.541,255
287,1.549,255
288,1.498,255
289,1.535,255
290,1.539,255
291,1.556,255
292,1.520,255
293,1.515,255
294,1.512,255
295,1.523,255
296,1.518,255
297,1.490,255
298,1.484,255
299,1.476,255
300,1.484,255
301,1.482,255
302,1.513,255
303,1.504,255
304,1.501,255
305,1.501,255
306,1.494,255
307,1.468,255
308,1.475,255
309,1.494,255
310,1.488,255
311,1.475,255
312,1.476,255
313,1.525,255
314,1.563,255
315,1.557,255
316,1.582,255
317,1.597,255
318,1.590,255
319,1.531,255
320,1.504,255
321,1.528,255
322,1.552,255
323,1.581,255
324,1.552,255
325,1.538,255
326,1.540,255
327,1.574,255
328,1.561,255
329,1.577,255
330,1.535,255
331,1.555,255
332,1.544,255
333,1.527,255
334,1.554,255
335,1.598,255
336,1.637,255
337,1.651,255
338,1.671,255
339,1.645,255
340,1.617,255
341,1.621,255
342,1.670,255
343,1.602,255
344,1.603,255
345,1.624,255
346,1.669,255
347,1.677,255
348,1.674,255
349,1.672,255
350,1.643,255
351,1.663,255
352,1.670,255
353,1.721,255
354,1.681,255
355,1.690,255
356,1.692,255
357,1.699,255
358,1.714,255
359,1.577,255
360,1.595,255
361,1.607,255
362,1.585,255
363,1.567,255
364,1.573,255
365,1.545,255
366,1.580,255
367,1.566,255
368,1.564,255
369,1.562,255
370,1.509,255
371,1.497,255
372,1.467,255
373,1.475,255
374,1.499,255
375,1.520,255
376,1.512,255
377,1.504,255
378,1.476,255
379,1.440,255
380,1.473,255
381,1.379,255
382,1.395,255
383,1.370,255
384,1.401,255
385,1.423,255
386,1.388,255
387,1.379,255
388,1.373,255
389,1.389,255
390,1.379,255
391,1.410,255
392,1.349,255
393,1.338,255
394,1.311,255
395,1.316,255
396,1.334,255
397,1.351,255
398,1.339,255
399,1.341,255
400,1.314,255
401,1.334,255
402,1.350,255
403,1.363,255
404,1.341,255
405,1.351,255
406,1.358,255
407,1.371,255
408,1.390,255
409,1.354,255
410,1.343,255
411,1.335,255
412,1.338,255
413,1.324,255
414,1.310,255
415,1.311,255
416,1.316,255
417,1.322,255
418,1.297,255
419,1.304,255
420,1.250,255
421,1.242,255
422,1.234,255
423,1.181,255
424,1.201,255
425,1.161,255
426,1.205,255
427,1.115,255
428,1.116,255
429,1.121,255
430,1.126,255
431,1.068,255
432,1.070,255
433,1.049,255
434,1.056,255
435,1.043,255
436,0.960,255
437,1.004,255
438,1.022,255
439,1.027,255
440,1.020,255
441,1.002,255
442,0.971,255
443,0.998,255
444,0.990,255
445,0.988,255
446,0.986,255
447,0.970,255
448,0.954,255
449,0.953,255
450,0.918,255
451,0.883,255
452,0.942,255
453,0.908,255
454,0.880,255
455,0.879,255
456,0.900,255
457,0.839,255
458,0.808,255
459,0.789,255
