 ,Area,Mean
1,37.661,0
2,37.661,0
3,37.661,0
4,0.009,255
5,0.008,255
6,0.018,255
7,0.026,255
8,0.028,255
9,0.028,255
10,0.038,255
11,0.025,255
12,0.026,255
13,0.035,255
14,0.036,255
15,0.041,255
16,0.055,255
17,0.065,255
18,0.067,255
19,0.075,255
20,0.077,255
21,0.092,255
22,0.096,255
23,0.108,255
24,0.114,255
25,0.217,255
26,0.225,255
27,0.238,255
28,0.251,255
29,0.256,255
30,0.266,255
31,0.268,255
32,0.307,255
33,0.338,255
34,0.344,255
35,0.320,255
36,0.335,255
37,0.334,255
38,0.343,255
39,0.353,255
40,0.392,255
41,0.392,255
42,0.400,255
43,0.402,255
44,0.442,255
45,0.466,255
46,0.479,255
47,0.484,255
48,0.530,255
49,0.536,255
50,0.548,255
51,0.558,255
52,0.547,255
53,0.571,255
54,0.590,255
55,0.593,255
56,0.639,255
57,0.640,255
58,0.647,255
59,0.657,255
60,0.668,255
61,0.655,255
62,0.693,255
63,0.705,255
64,0.708,255
65,0.720,255
66,0.765,255
67,0.777,255
68,0.870,255
69,0.889,255
70,0.927,255
71,0.936,255
72,0.882,255
73,0.889,255
74,0.847,255
75,0.849,255
76,0.857,255
77,0.848,255
78,0.907,255
79,0.910,255
80,0.890,255
81,1.012,255
82,1.029,255
83,1.040,255
84,1.059,255
85,1.072,255
86,1.053,255
87,1.068,255
88,1.070,255
89,1.107,255
90,1.133,255
91,1.163,255
92,1.171,255
93,1.202,255
94,1.193,255
95,1.180,255
96,1.210,255
97,1.180,255
98,1.234,255
99,1.218,255
100,1.268,255
101,1.245,255
102,1.281,255
103,1.279,255
104,1.293,255
105,1.338,255
106,1.340,255
107,1.355,255
108,1.342,255
109,1.362,255
110,1.383,255
111,1.397,255
112,1.396,255
113,1.429,255
114,1.442,255
115,1.449,255
116,1.465,255
117,1.464,255
118,1.446,255
119,1.457,255
120,1.420,255
121,1.422,255
122,1.494,255
123,1.494,255
124,1.504,255
125,1.485,255
126,1.490,255
127,1.500,255
128,1.491,255
129,1.526,255
130,1.541,255
131,1.548,255
132,1.574,255
133,1.552,255
134,1.557,255
135,1.561,255
136,1.531,255
137,1.599,255
138,1.604,255
139,1.626,255
140,1.623,255
141,1.586,255
142,1.572,255
143,1.624,255
144,1.649,255
145,1.727,255
146,1.755,255
147,1.676,255
148,1.659,255
149,1.665,255
150,1.661,255
151,1.618,255
152,1.650,255
153,1.644,255
154,1.639,255
155,1.609,255
156,1.591,255
157,1.647,255
158,1.599,255
159,1.672,255
160,1.645,255
161,1.639,255
162,1.636,255
163,1.628,255
164,1.600,255
165,1.612,255
166,1.638,255
167,1.678,255
168,1.634,255
169,1.655,255
170,1.675,255
171,1.691,255
172,1.666,255
173,1.705,255
174,1.661,255
175,1.677,255
176,1.683,255
177,1.699,255
178,1.745,255
179,1.723,255
180,1.733,255
181,1.717,255
182,1.695,255
183,1.733,255
184,1.725,255
185,1.762,255
186,1.757,255
187,1.721,255
188,1.737,255
189,1.743,255
190,1.742,255
191,1.762,255
192,1.769,255
193,1.826,255
194,1.838,255
195,1.858,255
196,1.850,255
197,1.868,255
198,1.855,255
199,1.831,255
200,1.840,255
201,1.865,255
202,1.841,255
203,1.839,255
204,1.844,255
205,1.908,255
206,1.865,255
207,1.889,255
208,1.869,255
209,1.884,255
210,1.886,255
211,1.911,255
212,1.954,255
213,1.949,255
214,1.993,255
215,2.004,255
216,1.949,255
217,1.932,255
218,1.928,255
219,1.965,255
220,1.981,255
221,1.957,255
222,1.968,255
223,1.956,255
224,1.944,255
225,1.875,255
226,1.942,255
227,1.986,255
228,1.961,255
229,1.991,255
230,2.013,255
231,2.037,255
232,2.035,255
233,1.983,255
234,2.029,255
235,2.035,255
236,2.065,255
237,2.080,255
238,2.077,255
239,2.085,255
240,1.993,255
241,1.973,255
242,1.999,255
243,1.959,255
244,1.848,255
245,1.858,255
246,1.824,255
247,1.927,255
248,1.926,255
249,1.877,255
250,1.867,255
251,1.895,255
252,1.889,255
253,1.921,255
254,1.885,255
255,1.905,255
256,1.897,255
257,1.869,255
258,1.883,255
259,1.905,255
260,1.916,255
261,1.926,255
262,1.899,255
263,1.901,255
264,1.918,255
265,1.898,255
266,1.887,255
267,1.870,255
268,1.877,255
269,1.837,255
270,1.829,255
271,1.840,255
272,1.805,255
273,1.823,255
274,1.796,255
275,1.796,255
276,1.792,255
277,1.806,255
278,1.773,255
279,1.759,255
280,1.684,255
281,1.689,255
282,1.704,255
283,1.704,255
284,1.685,255
285,1.719,255
286,1.717,255
287,1.708,255
288,1.720,255
289,1.715,255
290,1.732,255
291,1.747,255
292,1.730,255
293,1.774,255
294,1.745,255
295,1.709,255
296,1.730,255
297,1.730,255
298,1.732,255
299,1.727,255
300,1.747,255
301,1.713,255
302,1.690,255
303,1.716,255
304,1.726,255
305,1.762,255
306,1.778,255
307,1.764,255
308,1.799,255
309,1.790,255
310,1.771,255
311,1.754,255
312,1.772,255
313,1.745,255
314,1.773,255
315,1.810,255
316,1.814,255
317,1.851,255
318,1.888,255
319,1.877,255
320,1.817,255
321,1.816,255
322,1.846,255
323,1.820,255
324,1.831,255
325,1.830,255
326,1.857,255
327,1.862,255
328,1.855,255
329,1.853,255
330,1.819,255
331,1.781,255
332,1.779,255
333,1.811,255
334,1.818,255
335,1.816,255
336,1.811,255
337,1.802,255
338,1.816,255
339,1.877,255
340,1.882,255
341,1.848,255
342,1.841,255
343,1.842,255
344,1.857,255
345,1.873,255
346,1.841,255
347,1.824,255
348,1.829,255
349,1.814,255
350,1.821,255
351,1.822,255
352,1.876,255
353,1.834,255
354,1.871,255
355,1.873,255
356,1.885,255
357,1.863,255
358,1.860,255
359,1.867,255
360,1.872,255
361,1.882,255
362,1.882,255
363,1.849,255
364,1.841,255
365,1.823,255
366,1.852,255
367,1.843,255
368,1.859,255
369,1.847,255
370,1.835,255
371,1.855,255
372,1.875,255
373,1.872,255
374,1.880,255
375,1.917,255
376,1.887,255
377,1.859,255
378,1.856,255
379,1.865,255
380,1.867,255
381,1.865,255
382,1.865,255
383,1.825,255
384,1.815,255
385,1.826,255
386,1.812,255
387,1.819,255
388,1.803,255
389,1.771,255
390,1.701,255
391,1.645,255
392,1.637,255
393,1.614,255
394,1.616,255
395,1.619,255
396,1.604,255
397,1.583,255
398,1.613,255
399,1.629,255
400,1.628,255
401,1.619,255
402,1.650,255
403,1.668,255
404,1.663,255
405,1.675,255
406,1.640,255
407,1.625,255
408,1.656,255
409,1.702,255
410,1.699,255
411,1.653,255
412,1.688,255
413,1.693,255
414,1.690,255
415,1.692,255
416,1.674,255
417,1.646,255
418,1.641,255
419,1.655,255
420,1.695,255
421,1.706,255
422,1.691,255
423,1.687,255
424,1.682,255
425,1.584,255
426,1.632,255
427,1.636,255
428,1.609,255
429,1.602,255
430,1.577,255
431,1.514,255
432,1.519,255
433,1.576,255
434,1.538,255
435,1.498,255
436,1.467,255
437,1.521,255
438,1.452,255
439,1.521,255
440,1.558,255
441,1.554,255
442,1.535,255
443,1.545,255
444,1.576,255
445,1.557,255
446,1.586,255
447,1.593,255
448,1.596,255
449,1.608,255
450,1.567,255
451,1.570,255
452,1.493,255
453,1.439,255
454,1.439,255
455,1.532,255
456,1.530,255
457,1.537,255
458,1.457,255
459,1.432,255
