 ,Area,Mean
1,37.661,0
2,37.661,0
3,37.661,0
4,37.661,0
5,37.661,0
6,37.661,0
7,37.661,0
8,37.661,0
9,37.661,0
10,37.661,0
11,0.017,255
12,0.010,255
13,0.017,255
14,0.017,255
15,0.019,255
16,0.023,255
17,0.030,255
18,0.036,255
19,0.039,255
20,0.046,255
21,0.054,255
22,0.059,255
23,0.059,255
24,0.063,255
25,0.097,255
26,0.097,255
27,0.111,255
28,0.096,255
29,0.111,255
30,0.115,255
31,0.127,255
32,0.125,255
33,0.130,255
34,0.124,255
35,0.117,255
36,0.125,255
37,0.136,255
38,0.134,255
39,0.130,255
40,0.147,255
41,0.167,255
42,0.173,255
43,0.154,255
44,0.167,255
45,0.201,255
46,0.203,255
47,0.211,255
48,0.233,255
49,0.232,255
50,0.244,255
51,0.255,255
52,0.247,255
53,0.258,255
54,0.262,255
55,0.271,255
56,0.311,255
57,0.334,255
58,0.313,255
59,0.325,255
60,0.321,255
61,0.329,255
62,0.347,255
63,0.341,255
64,0.333,255
65,0.334,255
66,0.347,255
67,0.360,255
68,0.476,255
69,0.468,255
70,0.489,255
71,0.496,255
72,0.427,255
73,0.409,255
74,0.402,255
75,0.402,255
76,0.395,255
77,0.387,255
78,0.454,255
79,0.461,255
80,0.417,255
81,0.529,255
82,0.524,255
83,0.539,255
84,0.533,255
85,0.532,255
86,0.519,255
87,0.519,255
88,0.526,255
89,0.504,255
90,0.507,255
91,0.519,255
92,0.519,255
93,0.538,255
94,0.522,255
95,0.544,255
96,0.533,255
97,0.553,255
98,0.552,255
99,0.529,255
100,0.550,255
101,0.551,255
102,0.560,255
103,0.581,255
104,0.573,255
105,0.572,255
106,0.604,255
107,0.588,255
108,0.589,255
109,0.592,255
110,0.619,255
111,0.607,255
112,0.633,255
113,0.614,255
114,0.602,255
115,0.631,255
116,0.616,255
117,0.625,255
118,0.629,255
119,0.645,255
120,0.644,255
121,0.642,255
122,0.646,255
123,0.640,255
124,0.640,255
125,0.662,255
126,0.680,255
127,0.676,255
128,0.692,255
129,0.658,255
130,0.671,255
131,0.677,255
132,0.684,255
133,0.680,255
134,0.666,255
135,0.666,255
136,0.685,255
137,0.684,255
138,0.691,255
139,0.712,255
140,0.701,255
141,0.713,255
142,0.717,255
143,0.724,255
144,0.713,255
145,0.737,255
146,0.760,255
147,0.755,255
148,0.750,255
149,0.723,255
150,0.765,255
151,0.688,255
152,0.700,255
153,0.678,255
154,0.719,255
155,0.709,255
156,0.692,255
157,0.683,255
158,0.687,255
159,0.687,255
160,0.727,255
161,0.723,255
162,0.728,255
163,0.746,255
164,0.722,255
165,0.708,255
166,0.701,255
167,0.715,255
168,0.714,255
169,0.753,255
170,0.773,255
171,0.766,255
172,0.785,255
173,0.755,255
174,0.777,255
175,0.779,255
176,0.786,255
177,0.780,255
178,0.782,255
179,0.781,255
180,0.769,255
181,0.796,255
182,0.813,255
183,0.801,255
184,0.795,255
185,0.791,255
186,0.801,255
187,0.799,255
188,0.829,255
189,0.784,255
190,0.792,255
191,0.794,255
192,0.802,255
193,0.821,255
194,0.805,255
195,0.816,255
196,0.827,255
197,0.804,255
198,0.820,255
199,0.770,255
200,0.792,255
201,0.833,255
202,0.821,255
203,0.811,255
204,0.812,255
205,0.838,255
206,0.851,255
207,0.851,255
208,0.842,255
209,0.844,255
210,0.792,255
211,0.823,255
212,0.845,255
213,0.821,255
214,0.823,255
215,0.820,255
216,0.833,255
217,0.836,255
218,0.835,255
219,0.845,255
220,0.832,255
221,0.816,255
222,0.842,255
223,0.836,255
224,0.828,255
225,0.830,255
226,0.870,255
227,0.888,255
228,0.920,255
229,0.942,255
230,0.945,255
231,0.961,255
232,0.963,255
233,0.927,255
234,0.905,255
235,0.911,255
236,0.922,255
237,0.940,255
238,0.914,255
239,0.917,255
240,0.924,255
241,0.939,255
242,0.888,255
243,0.870,255
244,0.833,255
245,0.843,255
246,0.854,255
247,0.849,255
248,0.862,255
249,0.893,255
250,0.877,255
251,0.886,255
252,0.900,255
253,0.886,255
254,0.915,255
255,0.914,255
256,0.893,255
257,0.888,255
258,0.950,255
259,0.947,255
260,0.935,255
261,0.945,255
262,0.942,255
263,0.932,255
264,0.937,255
265,0.940,255
266,0.946,255
267,0.941,255
268,0.934,255
269,0.914,255
270,0.972,255
271,0.954,255
272,0.944,255
273,0.954,255
274,0.949,255
275,0.940,255
276,0.940,255
277,0.946,255
278,0.916,255
279,0.956,255
280,0.915,255
281,0.940,255
282,0.920,255
283,0.943,255
284,0.926,255
285,0.909,255
286,0.907,255
287,0.945,255
288,0.966,255
289,0.941,255
290,0.927,255
291,0.939,255
292,0.950,255
293,0.927,255
294,0.920,255
295,0.915,255
296,0.934,255
297,0.945,255
298,0.952,255
299,0.947,255
300,0.945,255
301,0.926,255
302,0.890,255
303,0.923,255
304,0.893,255
305,0.942,255
306,0.936,255
307,0.942,255
308,0.951,255
309,0.976,255
310,0.965,255
311,0.974,255
312,0.968,255
313,1.004,255
314,0.963,255
315,0.995,255
316,0.951,255
317,0.984,255
318,0.995,255
319,0.963,255
320,0.995,255
321,0.962,255
322,0.996,255
323,0.990,255
324,0.993,255
325,1.008,255
326,0.993,255
327,0.981,255
328,0.959,255
329,0.969,255
330,0.981,255
331,0.971,255
332,0.961,255
333,0.976,255
334,0.992,255
335,0.966,255
336,0.977,255
337,0.987,255
338,0.966,255
339,0.968,255
340,0.972,255
341,0.978,255
342,0.946,255
343,0.973,255
344,0.976,255
345,0.978,255
346,1.000,255
347,0.987,255
348,0.980,255
349,0.984,255
350,0.968,255
351,0.968,255
352,0.964,255
353,1.000,255
354,1.018,255
355,1.024,255
356,1.014,255
357,1.017,255
358,1.007,255
359,1.003,255
360,1.011,255
361,0.997,255
362,0.990,255
363,0.982,255
364,0.985,255
365,0.974,255
366,0.969,255
367,0.979,255
368,0.975,255
369,0.994,255
370,0.957,255
371,0.955,255
372,0.951,255
373,0.980,255
374,1.004,255
375,0.973,255
376,1.011,255
377,1.003,255
378,0.956,255
379,0.971,255
380,0.980,255
381,0.990,255
382,0.988,255
383,0.948,255
384,0.993,255
385,0.985,255
386,0.973,255
387,0.962,255
388,0.995,255
389,0.973,255
390,0.904,255
391,0.861,255
392,0.826,255
393,0.860,255
394,0.842,255
395,0.835,255
396,0.817,255
397,0.832,255
398,0.834,255
399,0.824,255
400,0.822,255
401,0.828,255
402,0.848,255
403,0.864,255
404,0.857,255
405,0.840,255
406,0.810,255
407,0.817,255
408,0.800,255
409,0.801,255
410,0.800,255
411,0.787,255
412,0.790,255
413,0.774,255
414,0.785,255
415,0.790,255
416,0.780,255
417,0.759,255
418,0.759,255
419,0.743,255
420,0.720,255
421,0.696,255
422,0.713,255
423,0.714,255
424,0.736,255
425,0.719,255
426,0.720,255
427,0.703,255
428,0.687,255
429,0.663,255
430,0.687,255
431,0.672,255
432,0.682,255
433,0.658,255
434,0.648,255
435,0.612,255
436,0.595,255
437,0.572,255
438,0.589,255
439,0.571,255
440,0.583,255
441,0.566,255
442,0.562,255
443,0.543,255
444,0.534,255
445,0.548,255
446,0.542,255
447,0.518,255
448,0.523,255
449,0.526,255
450,0.508,255
451,0.497,255
452,0.508,255
453,0.479,255
454,0.465,255
455,0.441,255
456,0.422,255
457,0.440,255
458,0.461,255
459,0.424,255
