 ,Area,Mean
1,37.661,0
2,37.661,0
3,37.661,0
4,37.661,0
5,37.661,0
6,0.003,255
7,37.661,0
8,37.661,0
9,37.661,0
10,37.661,0
11,0.018,255
12,0.010,255
13,0.018,255
14,0.017,255
15,0.020,255
16,0.024,255
17,0.032,255
18,0.038,255
19,0.045,255
20,0.048,255
21,0.055,255
22,0.061,255
23,0.065,255
24,0.068,255
25,0.102,255
26,0.112,255
27,0.116,255
28,0.111,255
29,0.116,255
30,0.124,255
31,0.135,255
32,0.144,255
33,0.148,255
34,0.144,255
35,0.141,255
36,0.138,255
37,0.147,255
38,0.146,255
39,0.150,255
40,0.178,255
41,0.184,255
42,0.193,255
43,0.176,255
44,0.197,255
45,0.223,255
46,0.232,255
47,0.234,255
48,0.268,255
49,0.264,255
50,0.272,255
51,0.273,255
52,0.275,255
53,0.284,255
54,0.295,255
55,0.307,255
56,0.374,255
57,0.367,255
58,0.361,255
59,0.369,255
60,0.360,255
61,0.382,255
62,0.388,255
63,0.378,255
64,0.389,255
65,0.388,255
66,0.405,255
67,0.420,255
68,0.527,255
69,0.527,255
70,0.544,255
71,0.551,255
72,0.483,255
73,0.467,255
74,0.453,255
75,0.453,255
76,0.453,255
77,0.461,255
78,0.505,255
79,0.521,255
80,0.480,255
81,0.583,255
82,0.564,255
83,0.585,255
84,0.578,255
85,0.586,255
86,0.577,255
87,0.573,255
88,0.565,255
89,0.570,255
90,0.572,255
91,0.579,255
92,0.600,255
93,0.603,255
94,0.611,255
95,0.599,255
96,0.593,255
97,0.614,255
98,0.614,255
99,0.614,255
100,0.612,255
101,0.605,255
102,0.624,255
103,0.644,255
104,0.647,255
105,0.635,255
106,0.662,255
107,0.674,255
108,0.686,255
109,0.662,255
110,0.676,255
111,0.698,255
112,0.689,255
113,0.723,255
114,0.708,255
115,0.713,255
116,0.709,255
117,0.713,255
118,0.721,255
119,0.744,255
120,0.728,255
121,0.731,255
122,0.730,255
123,0.718,255
124,0.735,255
125,0.749,255
126,0.766,255
127,0.772,255
128,0.776,255
129,0.763,255
130,0.761,255
131,0.761,255
132,0.767,255
133,0.747,255
134,0.739,255
135,0.745,255
136,0.752,255
137,0.756,255
138,0.755,255
139,0.775,255
140,0.789,255
141,0.778,255
142,0.793,255
143,0.812,255
144,0.795,255
145,0.815,255
146,0.858,255
147,0.846,255
148,0.846,255
149,0.818,255
150,0.827,255
151,0.781,255
152,0.795,255
153,0.777,255
154,0.790,255
155,0.790,255
156,0.764,255
157,0.783,255
158,0.770,255
159,0.801,255
160,0.806,255
161,0.803,255
162,0.820,255
163,0.826,255
164,0.815,255
165,0.801,255
166,0.802,255
167,0.795,255
168,0.795,255
169,0.850,255
170,0.856,255
171,0.865,255
172,0.870,255
173,0.857,255
174,0.860,255
175,0.870,255
176,0.872,255
177,0.849,255
178,0.865,255
179,0.879,255
180,0.871,255
181,0.894,255
182,0.884,255
183,0.893,255
184,0.890,255
185,0.886,255
186,0.903,255
187,0.905,255
188,0.909,255
189,0.874,255
190,0.906,255
191,0.898,255
192,0.890,255
193,0.899,255
194,0.900,255
195,0.922,255
196,0.915,255
197,0.923,255
198,0.933,255
199,0.899,255
200,0.904,255
201,0.927,255
202,0.902,255
203,0.908,255
204,0.921,255
205,0.943,255
206,0.942,255
207,0.964,255
208,0.951,255
209,0.948,255
210,0.925,255
211,0.940,255
212,0.955,255
213,0.916,255
214,0.926,255
215,0.958,255
216,0.937,255
217,0.948,255
218,0.949,255
219,0.948,255
220,0.925,255
221,0.957,255
222,0.934,255
223,0.947,255
224,0.943,255
225,0.945,255
226,0.981,255
227,1.011,255
228,1.017,255
229,1.047,255
230,1.053,255
231,1.071,255
232,1.074,255
233,1.033,255
234,1.038,255
235,1.028,255
236,1.022,255
237,1.062,255
238,1.059,255
239,1.033,255
240,1.040,255
241,1.036,255
242,1.030,255
243,0.974,255
244,0.954,255
245,0.937,255
246,0.941,255
247,0.973,255
248,0.969,255
249,0.983,255
250,0.982,255
251,0.991,255
252,1.006,255
253,0.982,255
254,1.018,255
255,1.017,255
256,0.997,255
257,0.998,255
258,1.039,255
259,1.048,255
260,1.030,255
261,1.028,255
262,1.056,255
263,1.041,255
264,1.042,255
265,1.037,255
266,1.023,255
267,1.028,255
268,1.039,255
269,1.026,255
270,1.068,255
271,1.046,255
272,1.030,255
273,1.041,255
274,1.022,255
275,1.021,255
276,1.023,255
277,1.039,255
278,1.006,255
279,1.029,255
280,0.999,255
281,1.010,255
282,1.006,255
283,1.003,255
284,1.002,255
285,0.991,255
286,1.005,255
287,1.018,255
288,1.027,255
289,1.032,255
290,1.023,255
291,1.024,255
292,1.046,255
293,1.021,255
294,0.991,255
295,0.996,255
296,1.017,255
297,1.032,255
298,1.035,255
299,1.037,255
300,1.031,255
301,1.017,255
302,0.980,255
303,0.996,255
304,0.984,255
305,1.025,255
306,1.025,255
307,1.028,255
308,1.025,255
309,1.061,255
310,1.051,255
311,1.060,255
312,1.035,255
313,1.072,255
314,1.052,255
315,1.076,255
316,1.049,255
317,1.071,255
318,1.067,255
319,1.052,255
320,1.068,255
321,1.045,255
322,1.106,255
323,1.069,255
324,1.087,255
325,1.088,255
326,1.072,255
327,1.060,255
328,1.045,255
329,1.087,255
330,1.068,255
331,1.047,255
332,1.048,255
333,1.060,255
334,1.067,255
335,1.061,255
336,1.065,255
337,1.063,255
338,1.063,255
339,1.075,255
340,1.071,255
341,1.061,255
342,1.053,255
343,1.067,255
344,1.073,255
345,1.078,255
346,1.089,255
347,1.083,255
348,1.062,255
349,1.078,255
350,1.075,255
351,1.063,255
352,1.048,255
353,1.082,255
354,1.095,255
355,1.102,255
356,1.097,255
357,1.101,255
358,1.100,255
359,1.092,255
360,1.091,255
361,1.085,255
362,1.090,255
363,1.060,255
364,1.079,255
365,1.079,255
366,1.069,255
367,1.057,255
368,1.059,255
369,1.087,255
370,1.050,255
371,1.064,255
372,1.057,255
373,1.075,255
374,1.088,255
375,1.071,255
376,1.088,255
377,1.080,255
378,1.052,255
379,1.051,255
380,1.059,255
381,1.066,255
382,1.078,255
383,1.040,255
384,1.073,255
385,1.072,255
386,1.065,255
387,1.051,255
388,1.066,255
389,1.046,255
390,1.004,255
391,0.948,255
392,0.898,255
393,0.936,255
394,0.904,255
395,0.894,255
396,0.898,255
397,0.894,255
398,0.894,255
399,0.891,255
400,0.883,255
401,0.883,255
402,0.904,255
403,0.947,255
404,0.928,255
405,0.902,255
406,0.891,255
407,0.880,255
408,0.876,255
409,0.872,255
410,0.867,255
411,0.862,255
412,0.845,255
413,0.849,255
414,0.833,255
415,0.855,255
416,0.843,255
417,0.821,255
418,0.824,255
419,0.792,255
420,0.787,255
421,0.768,255
422,0.780,255
423,0.777,255
424,0.794,255
425,0.782,255
426,0.788,255
427,0.762,255
428,0.759,255
429,0.724,255
430,0.734,255
431,0.716,255
432,0.759,255
433,0.721,255
434,0.721,255
435,0.682,255
436,0.647,255
437,0.634,255
438,0.647,255
439,0.625,255
440,0.648,255
441,0.633,255
442,0.629,255
443,0.591,255
444,0.599,255
445,0.620,255
446,0.596,255
447,0.579,255
448,0.572,255
449,0.613,255
450,0.564,255
451,0.554,255
452,0.563,255
453,0.541,255
454,0.513,255
455,0.514,255
456,0.494,255
457,0.544,255
458,0.552,255
459,0.504,255
